time,flux,flux_err
2459714.140245,	0.257930,	0.004213
2459714.150029,	0.250827,	0.003911
2459714.159812,	0.245281,	0.003733
2459714.169595,	0.245579,	0.003621
2459714.179378,	0.246836,	0.003477
2459714.189161,	0.245846,	0.003233
2459714.198944,	0.242812,	0.003129
2459714.208727,	0.243993,	0.003014
2459714.218511,	0.245807,	0.002966
2459714.228294,	0.245774,	0.002910
2459714.238077,	0.245464,	0.002821
2459714.247860,	0.250054,	0.002778
2459714.257643,	0.250275,	0.002743
2459714.267426,	0.250498,	0.002643
2459714.277209,	0.251225,	0.002540
2459714.286992,	0.250284,	0.002475
2459714.296776,	0.249173,	0.002376
2459714.306559,	0.245516,	0.002280
2459714.316342,	0.244819,	0.002472
2459714.326125,	0.253090,	0.003989
